"","maxprediction","minprediction"
"152",103.401401664477,79.5804862023653
"153",101.000043802015,78.4950503723171
"154",102.528988173456,81.4447656592203
"155",99.8931230836618,83.0399036355672
"156",103.491195795007,81.7632063074901
"157",102.014016644766,83.8217038983793
"158",104.533096802453,83.1597897503285
"159",97.9075339465615,82.5723959702146
"160",99.1109505037232,79.3243320192729
"161",100.975120455541,81.0125711782742
"162",101.145685501533,80.8410862899693
"163",102.022601839685,84.4300919842313
"164",101.659045116075,83.9392904073587
"165",99.2639947437582,81.9557380639509
"166",99.2507227332457,81.7837056504599
"167",95.189399912396,80.6185282522996
"168",93.2258869908016,80.479982479194
"169",97.7863556723609,81.6685063512922
"170",99.597547087166,81.6126806833114
"171",99.7965396408235,81.5621550591327
"172",101.491243977223,81.0975032851511
